,edad,edo_civil,escolaridad,hora,mes,mpio,parentesco,cuantos
300,40,CASADO,TÉCNICO,T,1,LINARES,EXESPOSO,1
301,6,SOLTERO,NINGUNO,T,1,SANTA CATARINA,PADRE,1
302,38,CASADO,PRIMARIA,T,1,SANTA CATARINA,CONCUBINO,1
303,14,SOLTERO,SECUNDARIA,N,1,GUADALUPE,MADRE,1
304,23,SOLTERO,PRIMARIA,N,1,GUADALUPE,NINGUNO,1
305,52,CASADO,PREPARATORIA,N,1,GUADALUPE,HIJO,1
306,70,SOLTERO,PRIMARIA,N,1,GUADALUPE,NIETO,1
307,37,CASADO,SECUNDARIA,T,1,ALLENDE,ESPOSO,1
308,6,SOLTERO,PRIMARIA,T,1,APODACA,HIJO,1
309,29,CASADO,SECUNDARIA,M,1,CADEREYTA JIMÉNEZ,NINGUNO,1
310,27,CASADO,SECUNDARIA,T,1,GARCÍA,ESPOSO,1
311,75,SOLTERO,TÉCNICO,N,1,GUADALUPE,NINGUNO,1
312,30,CASADO,SECUNDARIA,M,1,GUADALUPE,NINGUNO,1
313,40,SOLTERO,LICENCIATURA,T,1,GUADALUPE,NINGUNO,1
314,44,CASADO,TÉCNICO,T,1,GUADALUPE,ESPOSO,1
315,40,CASADO,SECUNDARIA,M,1,GUADALUPE,ESPOSO,1
316,42,SOLTERO,SECUNDARIA,N,1,GUADALUPE,NINGUNO,1
317,38,CASADO,NINGUNO,T,1,GUADALUPE,ESPOSO,1
318,43,SOLTERO,SECUNDARIA,T,1,GUADALUPE,NINGUNO,1
319,47,CASADO,PRIMARIA,M,1,GUADALUPE,NINGUNO,1
320,32,CASADO,PRIMARIA,T,1,LINARES,UL,1
321,20,SOLTERO,PREPARATORIA,N,1,MARÍN,CONCUBINO,1
322,30,CASADO,PRIMARIA,M,1,MINA,CONCUBINO,1
323,24,CASADO,SECUNDARIA,N,1,MONTERREY,NINGUNO,1
324,63,SOLTERO,PRIMARIA,M,1,MONTERREY,MADRE,1
325,39,CASADO,SECUNDARIA,T,1,SAN PEDRO GARZA GARCÍA,ESPOSO,1
326,41,CASADO,SECUNDARIA,M,1,ZUAZUA,NINGUNO,1
327,2,SOLTERO,NINGUNO,N,1,APODACA,NINGUNO,1
328,26,CASADO,LICENCIATURA,N,1,APODACA,UL,1
329,14,SOLTERO,SECUNDARIA,N,1,GUADALUPE,NINGUNO,1
330,46,CASADO,SECUNDARIA,N,1,GUADALUPE,ESPOSO,1
331,44,CASADO,PREPARATORIA,M,1,MONTERREY,NINGUNO,1
332,63,SOLTERO,PRIMARIA,M,1,MONTERREY,NINGUNO,1
333,66,CASADO,PRIMARIA,M,1,ALLENDE,PADRE,1
334,78,CASADO,PRIMARIA,M,1,ANAHUAC,PADRE,1
335,48,CASADO,SECUNDARIA,M,1,APODACA,NINGUNO,1
336,24,CASADO,SECUNDARIA,M,1,CIÉNEGA DE FLORES,CONCUBINO,1
337,61,CASADO,SECUNDARIA,T,1,EL CARMEN,ESPOSO,1
338,10,CASADO,PRIMARIA,T,1,EL CARMEN,MADRE,1
339,28,CASADO,PREPARATORIA,M,1,EL CARMEN,NINGUNO,1
340,26,SOLTERO,PREPARATORIA,T,1,ESCOBEDO,NINGUNO,1
341,43,SOLTERO,SECUNDARIA,N,1,ESCOBEDO,NINGUNO,1
342,34,CASADO,SECUNDARIA,M,1,ESCOBEDO,CONCUBINO,1
343,38,CASADO,SECUNDARIA,T,1,ESCOBEDO,NINGUNO,1
